Timestamp,Eye State,Score
2023-11-22 12:36:14,0,0
2023-11-22 12:36:26,1,1
2023-11-22 12:36:26,1,2
2023-11-22 12:36:27,1,3
2023-11-22 12:36:27,1,4
2023-11-22 12:36:27,1,5
2023-11-22 12:36:27,1,6
2023-11-22 12:36:28,1,7
2023-11-22 12:36:28,1,8
2023-11-22 12:36:28,1,9
2023-11-22 12:36:29,1,10
2023-11-22 12:36:29,1,11
2023-11-22 12:36:29,1,12
2023-11-22 12:36:29,1,13
2023-11-22 12:36:29,1,14
2023-11-22 12:36:30,1,15
2023-11-22 12:36:30,1,16
2023-11-22 12:36:31,0,15
2023-11-22 12:36:32,1,16
2023-11-22 12:36:32,1,17
2023-11-22 12:36:33,1,18
2023-11-22 12:36:33,1,19
2023-11-22 12:36:34,1,20
2023-11-22 12:36:34,0,19
2023-11-22 12:36:35,0,18
2023-11-22 12:36:35,0,17
2023-11-22 12:36:36,0,16
2023-11-22 12:36:37,0,15
2023-11-22 12:36:37,0,14
2023-11-22 12:36:38,0,13
2023-11-22 12:36:39,0,12
2023-11-22 12:36:39,1,13
2023-11-22 12:36:40,1,14
2023-11-22 12:36:40,1,15
2023-11-22 12:36:40,1,16
2023-11-22 12:36:41,1,17
2023-11-22 12:36:42,1,18
2023-11-22 12:36:42,0,17
2023-11-22 12:36:43,1,18
2023-11-22 12:36:43,1,19
2023-11-22 12:36:44,0,18
2023-11-22 12:36:44,1,19
2023-11-22 12:36:45,1,20
2023-11-22 12:36:45,1,19
2023-11-22 12:36:46,1,20
2023-11-22 12:36:47,1,19
2023-11-22 12:36:47,1,20
2023-11-22 12:36:48,1,19
2023-11-22 12:36:49,1,20
2023-11-22 12:36:49,1,19
