Timestamp,Eye State,Score
2023-11-22 13:11:02,0,0
2023-11-22 13:11:19,0,0
2023-11-22 13:11:20,0,0
2023-11-22 13:11:20,0,0
2023-11-22 13:11:21,0,0
2023-11-22 13:11:21,0,0
2023-11-22 13:11:22,0,0
2023-11-22 13:11:23,0,0
2023-11-22 13:11:23,0,0
2023-11-22 13:11:24,0,0
2023-11-22 13:11:25,0,0
2023-11-22 13:11:25,0,0
2023-11-22 13:11:26,0,0
2023-11-22 13:11:27,0,0
2023-11-22 13:11:27,0,0
2023-11-22 13:11:27,0,0
2023-11-22 13:11:28,0,0
2023-11-22 13:11:28,0,0
2023-11-22 13:11:29,0,0
2023-11-22 13:11:29,0,0
2023-11-22 13:11:30,0,0
2023-11-22 13:11:30,0,0
2023-11-22 13:11:31,1,1
2023-11-22 13:11:31,0,0
2023-11-22 13:11:32,1,1
2023-11-22 13:11:32,1,2
2023-11-22 13:11:33,0,1
2023-11-22 13:11:33,1,2
2023-11-22 13:11:34,1,3
2023-11-22 13:11:34,0,2
2023-11-22 13:11:34,0,1
2023-11-22 13:11:35,0,0
2023-11-22 13:11:35,0,0
2023-11-22 13:11:36,0,0
2023-11-22 13:11:36,0,0
2023-11-22 13:11:37,0,0
2023-11-22 13:11:37,0,0
2023-11-22 13:11:38,0,0
2023-11-22 13:11:38,0,0
2023-11-22 13:11:39,0,0
2023-11-22 13:11:39,0,0
2023-11-22 13:11:40,0,0
2023-11-22 13:11:40,0,0
2023-11-22 13:11:41,0,0
2023-11-22 13:11:41,0,0
2023-11-22 13:11:42,0,0
2023-11-22 13:11:43,0,0
2023-11-22 13:11:43,0,0
2023-11-22 13:11:44,0,0
2023-11-22 13:11:44,0,0
2023-11-22 13:11:45,0,0
2023-11-22 13:11:45,1,1
2023-11-22 13:11:46,1,2
2023-11-22 13:11:46,1,3
2023-11-22 13:11:47,1,4
2023-11-22 13:11:48,1,5
2023-11-22 13:11:48,1,6
2023-11-22 13:11:49,1,7
2023-11-22 13:11:49,1,8
2023-11-22 13:11:50,1,9
2023-11-22 13:11:50,1,10
2023-11-22 13:11:51,1,11
2023-11-22 13:11:51,1,12
2023-11-22 13:11:52,1,13
2023-11-22 13:11:52,1,14
2023-11-22 13:11:53,1,15
2023-11-22 13:11:53,0,14
2023-11-22 13:11:54,0,13
2023-11-22 13:11:54,0,12
2023-11-22 13:11:54,0,11
2023-11-22 13:11:55,0,10
2023-11-22 13:11:55,0,9
2023-11-22 13:11:55,0,8
2023-11-22 13:11:56,0,7
2023-11-22 13:11:56,1,8
2023-11-22 13:11:57,1,9
2023-11-22 13:11:57,0,8
2023-11-22 13:11:58,1,9
2023-11-22 13:11:58,0,8
2023-11-22 13:11:59,0,7
