Timestamp,Eye State,Score,blink_duration
2023-11-23 11:06:15,0,0,3703138.0
2023-11-23 11:06:31,0,0,0.0
2023-11-23 11:06:32,0,0,0.0
2023-11-23 11:06:32,0,0,0.0
2023-11-23 11:06:33,0,0,0.0
2023-11-23 11:06:33,0,0,0.0
2023-11-23 11:06:33,0,0,0.0
2023-11-23 11:06:34,0,0,0.0
2023-11-23 11:06:34,0,0,0.0
2023-11-23 11:06:34,0,0,0.0
2023-11-23 11:06:35,0,0,0.0
2023-11-23 11:06:35,0,0,0.0
2023-11-23 11:06:35,0,0,0.0
2023-11-23 11:06:36,0,0,0.0
2023-11-23 11:06:36,0,0,0.0
2023-11-23 11:06:37,0,0,0.0
2023-11-23 11:06:37,0,0,0.0
2023-11-23 11:06:37,0,0,0.0
2023-11-23 11:06:38,0,0,0.0
2023-11-23 11:06:38,0,0,0.0
2023-11-23 11:06:39,0,0,0.0
2023-11-23 11:06:39,0,0,0.0
2023-11-23 11:06:39,0,0,0.0
2023-11-23 11:06:40,0,0,0.0
2023-11-23 11:06:41,1,1,0.0
2023-11-23 11:06:41,1,2,0.5
2023-11-23 11:06:42,1,3,0.5
2023-11-23 11:06:43,1,4,0.5
2023-11-23 11:06:43,1,5,0.5
2023-11-23 11:06:44,1,6,0.5
2023-11-23 11:06:44,1,7,0.5
2023-11-23 11:06:45,1,8,0.5
2023-11-23 11:06:45,1,9,0.5
2023-11-23 11:06:46,1,10,0.5
2023-11-23 11:06:46,1,11,0.5
2023-11-23 11:06:47,1,12,0.5
2023-11-23 11:06:47,1,13,0.5
2023-11-23 11:06:48,1,14,0.5
2023-11-23 11:06:48,1,15,0.5
2023-11-23 11:06:50,1,16,0.5
2023-11-23 11:06:50,1,17,0.5
2023-11-23 11:06:51,1,18,0.5
2023-11-23 11:06:51,1,19,0.5
2023-11-23 11:06:52,1,20,0.5
2023-11-23 11:06:53,1,19,0.5
2023-11-23 11:06:53,1,20,0.5
2023-11-23 11:06:54,1,19,0.5
2023-11-23 11:06:55,1,20,0.5
2023-11-23 11:06:56,1,19,0.5
2023-11-23 11:06:56,1,20,0.5
2023-11-23 11:06:57,1,19,0.5
2023-11-23 11:06:57,1,20,0.5
2023-11-23 11:06:58,1,19,0.5
2023-11-23 11:06:58,1,20,0.5
2023-11-23 11:06:59,1,19,0.5
2023-11-23 11:06:59,1,20,0.5
2023-11-23 11:07:00,1,19,0.5
2023-11-23 11:07:00,1,20,0.5
2023-11-23 11:07:00,1,19,0.5
2023-11-23 11:07:01,1,20,0.5
2023-11-23 11:07:01,1,19,0.5
2023-11-23 11:07:02,1,20,0.5
2023-11-23 11:07:02,1,19,0.5
2023-11-23 11:07:02,1,20,0.5
2023-11-23 11:07:03,1,19,0.5
2023-11-23 11:07:03,1,20,0.5
2023-11-23 11:07:04,1,19,0.5
2023-11-23 11:07:04,1,20,0.5
2023-11-23 11:07:05,1,19,0.5
2023-11-23 11:07:05,1,20,0.5
2023-11-23 11:07:05,1,19,0.5
2023-11-23 11:07:06,1,20,0.5
2023-11-23 11:07:06,1,19,0.5
2023-11-23 11:07:07,1,20,0.5
2023-11-23 11:07:07,1,19,0.5
2023-11-23 11:07:08,1,20,0.5
2023-11-23 11:07:08,1,19,0.5
2023-11-23 11:07:08,1,20,0.5
2023-11-23 11:07:09,1,19,0.5
2023-11-23 11:07:09,1,20,0.5
2023-11-23 11:07:09,1,19,0.5
2023-11-23 11:07:10,1,20,0.5
2023-11-23 11:07:10,1,19,0.5
2023-11-23 11:07:10,1,20,0.5
2023-11-23 11:07:11,1,19,0.5
2023-11-23 11:07:11,1,20,0.5
2023-11-23 11:07:12,0,19,32.0
2023-11-23 11:07:13,0,18,0.0
2023-11-23 11:07:13,0,17,0.0
2023-11-23 11:07:14,0,16,0.0
2023-11-23 11:07:14,0,15,0.0
2023-11-23 11:07:15,0,14,0.0
2023-11-23 11:07:15,0,13,0.0
2023-11-23 11:07:16,0,12,0.0
2023-11-23 11:07:16,0,11,0.0
2023-11-23 11:07:17,0,10,0.0
2023-11-23 11:07:18,0,9,0.0
2023-11-23 11:07:18,0,8,0.0
