Timestamp,Eye State,Score
2023-11-22 17:54:59,0,0
2023-11-22 17:55:01,0,0
2023-11-22 17:55:01,0,0
2023-11-22 17:55:01,0,0
2023-11-22 17:55:21,0,0
2023-11-22 17:55:21,0,0
2023-11-22 17:55:21,0,0
2023-11-22 17:55:21,0,0
2023-11-22 17:55:22,0,0
2023-11-22 17:55:22,0,0
2023-11-22 17:55:23,0,0
2023-11-22 17:55:23,0,0
2023-11-22 17:55:24,0,0
2023-11-22 17:55:24,0,0
2023-11-22 17:55:25,0,0
2023-11-22 17:55:25,0,0
2023-11-22 17:55:26,0,0
2023-11-22 17:55:26,0,0
2023-11-22 17:55:27,0,0
2023-11-22 17:55:27,0,0
2023-11-22 17:55:28,0,0
2023-11-22 17:55:28,0,0
2023-11-22 17:55:28,0,0
2023-11-22 17:55:28,0,0
2023-11-22 17:55:29,0,0
2023-11-22 17:55:29,0,0
2023-11-22 17:55:29,0,0
2023-11-22 17:55:29,0,0
2023-11-22 17:55:30,0,0
2023-11-22 17:55:30,0,0
2023-11-22 17:55:30,0,0
2023-11-22 17:55:31,0,0
2023-11-22 17:55:31,0,0
2023-11-22 17:55:31,0,0
2023-11-22 17:55:31,0,0
2023-11-22 17:55:32,0,0
2023-11-22 17:55:32,0,0
2023-11-22 17:55:32,0,0
2023-11-22 17:55:33,0,0
2023-11-22 17:55:33,0,0
2023-11-22 17:55:33,0,0
2023-11-22 17:55:34,0,0
2023-11-22 17:55:34,0,0
2023-11-22 17:55:34,0,0
2023-11-22 17:55:34,0,0
2023-11-22 17:55:35,1,1
2023-11-22 17:55:36,0,0
2023-11-22 17:55:37,0,0
2023-11-22 17:55:37,0,0
2023-11-22 17:55:38,0,0
2023-11-22 17:55:38,0,0
2023-11-22 17:55:39,0,0
2023-11-22 17:55:39,0,0
2023-11-22 17:55:40,0,0
2023-11-22 17:55:40,0,0
2023-11-22 17:55:41,0,0
2023-11-22 17:55:41,0,0
2023-11-22 17:55:41,0,0
2023-11-22 17:55:42,0,0
2023-11-22 17:55:42,0,0
2023-11-22 17:55:43,0,0
2023-11-22 17:55:43,0,0
2023-11-22 17:55:44,0,0
2023-11-22 17:55:44,0,0
2023-11-22 17:55:44,0,0
2023-11-22 17:55:45,0,0
2023-11-22 17:55:45,0,0
2023-11-22 17:55:45,0,0
2023-11-22 17:55:46,0,0
2023-11-22 17:55:46,0,0
2023-11-22 17:55:46,0,0
2023-11-22 17:55:47,0,0
2023-11-22 17:55:48,0,0
2023-11-22 17:55:48,0,0
2023-11-22 17:55:49,0,0
2023-11-22 17:55:49,0,0
2023-11-22 17:55:50,0,0
2023-11-22 17:55:51,0,0
2023-11-22 17:55:51,0,0
2023-11-22 17:55:52,0,0
2023-11-22 17:55:52,1,1
2023-11-22 17:55:53,0,0
2023-11-22 17:55:54,0,0
2023-11-22 17:55:54,0,0
2023-11-22 17:55:55,0,0
2023-11-22 17:55:56,0,0
2023-11-22 17:55:56,0,0
2023-11-22 17:55:57,0,0
2023-11-22 17:55:57,0,0
2023-11-22 17:55:58,0,0
2023-11-22 17:55:58,0,0
2023-11-22 17:55:59,0,0
2023-11-22 17:55:59,0,0
2023-11-22 17:56:00,0,0
2023-11-22 17:56:01,0,0
2023-11-22 17:56:02,0,0
2023-11-22 17:56:02,0,0
2023-11-22 17:56:03,0,0
2023-11-22 17:56:04,0,0
2023-11-22 17:56:04,0,0
2023-11-22 17:56:05,0,0
2023-11-22 17:56:06,0,0
2023-11-22 17:56:06,0,0
2023-11-22 17:56:07,0,0
2023-11-22 17:56:08,0,0
2023-11-22 17:56:09,0,0
2023-11-22 17:56:09,0,0
2023-11-22 17:56:10,0,0
2023-11-22 17:56:11,0,0
2023-11-22 17:56:12,0,0
2023-11-22 17:56:12,0,0
2023-11-22 17:56:13,0,0
2023-11-22 17:56:14,0,0
2023-11-22 17:56:15,0,0
2023-11-22 17:56:15,0,0
2023-11-22 17:56:15,0,0
2023-11-22 17:56:16,0,0
2023-11-22 17:56:16,0,0
2023-11-22 17:56:16,0,0
2023-11-22 17:56:17,0,0
2023-11-22 17:56:17,0,0
2023-11-22 17:56:18,0,0
2023-11-22 17:56:19,1,1
2023-11-22 17:56:20,0,0
2023-11-22 17:56:20,0,0
2023-11-22 17:56:21,0,0
2023-11-22 17:56:22,0,0
2023-11-22 17:56:23,0,0
2023-11-22 17:56:23,1,1
2023-11-22 17:56:24,1,2
2023-11-22 17:56:24,1,3
2023-11-22 17:56:24,1,4
2023-11-22 17:56:25,1,5
2023-11-22 17:56:25,1,6
2023-11-22 17:56:25,1,7
2023-11-22 17:56:26,1,8
2023-11-22 17:56:26,1,9
2023-11-22 17:56:27,0,8
2023-11-22 17:56:27,0,7
2023-11-22 17:56:28,0,6
2023-11-22 17:56:28,0,5
2023-11-22 17:56:28,0,4
2023-11-22 17:56:29,0,3
2023-11-22 17:56:29,0,2
2023-11-22 17:56:30,0,1
2023-11-22 17:56:31,0,0
2023-11-22 17:56:32,0,0
2023-11-22 17:56:32,0,0
2023-11-22 17:56:33,0,0
2023-11-22 17:56:34,0,0
2023-11-22 17:56:34,0,0
2023-11-22 17:56:35,0,0
2023-11-22 17:56:36,0,0
2023-11-22 17:56:36,0,0
2023-11-22 17:56:37,0,0
2023-11-22 17:56:37,0,0
2023-11-22 17:56:38,0,0
2023-11-22 17:56:39,0,0
2023-11-22 17:56:40,0,0
2023-11-22 17:56:41,0,0
2023-11-22 17:56:41,0,0
2023-11-22 17:56:42,0,0
2023-11-22 17:56:43,0,0
2023-11-22 17:56:43,0,0
2023-11-22 17:56:44,0,0
2023-11-22 17:56:45,0,0
2023-11-22 17:56:45,0,0
2023-11-22 17:56:46,0,0
2023-11-22 17:56:47,0,0
2023-11-22 17:56:48,0,0
2023-11-22 17:56:49,0,0
2023-11-22 17:56:49,0,0
2023-11-22 17:56:50,0,0
2023-11-22 17:56:51,0,0
2023-11-22 17:56:52,0,0
2023-11-22 17:56:52,0,0
2023-11-22 17:56:53,0,0
2023-11-22 17:56:54,0,0
2023-11-22 17:56:55,0,0
2023-11-22 17:56:56,0,0
2023-11-22 17:56:56,0,0
2023-11-22 17:56:57,0,0
2023-11-22 17:56:58,1,1
2023-11-22 17:56:58,1,2
2023-11-22 17:56:59,0,1
2023-11-22 17:57:00,0,0
2023-11-22 17:57:01,0,0
2023-11-22 17:57:02,0,0
2023-11-22 17:57:03,0,0
