Timestamp,Eye State,Score
2023-11-22 23:10:18,0,0
2023-11-22 23:10:32,1,1
2023-11-22 23:10:33,1,2
2023-11-22 23:10:34,1,3
2023-11-22 23:10:34,0,2
2023-11-22 23:10:35,0,1
2023-11-22 23:10:35,0,0
2023-11-22 23:10:35,0,0
2023-11-22 23:10:36,1,1
2023-11-22 23:10:36,1,2
2023-11-22 23:10:37,1,3
2023-11-22 23:10:37,1,4
2023-11-22 23:10:38,1,5
2023-11-22 23:10:38,1,6
2023-11-22 23:10:39,1,7
2023-11-22 23:10:39,1,8
2023-11-22 23:10:40,1,9
2023-11-22 23:10:41,0,8
2023-11-22 23:10:42,0,7
2023-11-22 23:10:43,0,6
2023-11-22 23:10:43,1,7
2023-11-22 23:10:44,0,6
2023-11-22 23:10:45,0,5
2023-11-22 23:10:46,0,4
2023-11-22 23:10:47,0,3
2023-11-22 23:10:48,0,2
2023-11-22 23:10:48,0,1
2023-11-22 23:10:49,0,0
2023-11-22 23:10:50,0,0
2023-11-22 23:10:51,1,1
2023-11-22 23:10:52,1,2
2023-11-22 23:10:53,1,3
2023-11-22 23:10:53,1,4
2023-11-22 23:10:54,1,5
2023-11-22 23:10:55,0,4
2023-11-22 23:10:56,0,3
2023-11-22 23:10:57,0,2
2023-11-22 23:10:58,0,1
2023-11-22 23:10:58,0,0
2023-11-22 23:10:59,0,0
2023-11-22 23:11:00,0,0
2023-11-22 23:11:01,0,0
2023-11-22 23:11:02,0,0
2023-11-22 23:11:03,0,0
2023-11-22 23:11:04,0,0
2023-11-22 23:11:04,0,0
2023-11-22 23:11:05,0,0
2023-11-22 23:11:06,0,0
