Timestamp,Eye State,Score
2023-11-23 11:50:05,0,0
2023-11-23 11:50:09,0,0
2023-11-23 11:50:10,0,0
2023-11-23 11:50:10,0,0
2023-11-23 11:50:11,0,0
2023-11-23 11:50:12,0,0
2023-11-23 11:50:12,0,0
2023-11-23 11:50:13,0,0
2023-11-23 11:50:14,0,0
2023-11-23 11:50:14,0,0
2023-11-23 11:50:15,0,0
2023-11-23 11:50:16,0,0
2023-11-23 11:50:17,0,0
2023-11-23 11:50:18,0,0
2023-11-23 11:50:19,0,0
2023-11-23 11:50:20,0,0
2023-11-23 11:50:21,0,0
2023-11-23 11:50:21,0,0
2023-11-23 11:50:22,0,0
2023-11-23 11:50:23,0,0
2023-11-23 11:50:23,0,0
2023-11-23 11:50:24,0,0
2023-11-23 11:50:25,0,0
2023-11-23 11:50:26,0,0
2023-11-23 11:50:26,1,1
2023-11-23 11:50:27,1,2
2023-11-23 11:50:28,0,1
2023-11-23 11:50:29,0,0
2023-11-23 11:50:30,1,1
2023-11-23 11:50:31,1,2
2023-11-23 11:50:32,1,3
2023-11-23 11:50:33,0,2
2023-11-23 11:50:33,0,1
2023-11-23 11:50:34,1,2
